source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,latent_dim,seed,job_id
depablo_low_temp,10,20,20,20,0.8575790193583706,0.1019078286293624,0.0890919672458267,1.9604996559507985e-08,0.0001218438148498,0.0001382825139444,mp2,8,3456456,4670375.zeus-master
depablo_low_temp,25,20,20,20,0.978953905777085,0.0414871036918032,0.1113451632350467,1.2298760134754617e-07,0.0002859774744138,0.0001634205495065,mp2,8,3456456,4670375.zeus-master
depablo_low_temp,50,20,20,20,0.9935002842538652,0.022613876642908,0.121923909291221,5.016283527226051e-07,0.0003985695075243,0.0001236575073562,mp2,8,3456456,4670375.zeus-master
depablo_low_temp,75,20,20,20,0.989733532874373,0.0283726641492529,0.1271388104990921,1.2055070747862829e-06,0.0004839475732296,0.0002442717028316,mp2,8,3456456,4670375.zeus-master
depablo_low_temp,100,20,20,20,0.9821427549279445,0.034865979793334,0.1309363081666797,2.372844902254201e-06,0.0007013246417045,0.0005079902504803,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,5,20,20,20,0.2420498519601054,0.3327357394485518,0.2267994575756468,6.924842583941882e-05,0.0142649413872277,0.0012672850149101,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,10,20,20,20,0.3490617950877247,0.2671337096904798,0.1792210970466572,6.852656656519684e-05,0.0140500216628424,0.0006516868545077,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,25,20,20,20,0.3791863435554811,0.2502943329975787,0.1814265265332104,6.160800440255799e-05,0.0126240630634129,0.000667580004665,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,50,20,20,20,0.7051491381363906,0.1525971322445881,0.1290510646927359,5.0080787946171765e-05,0.0103512150468304,0.0008483693018206,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,75,20,20,20,0.6612531710541218,0.1646918943551747,0.1721180025747532,4.136324603791764e-05,0.0085156768094748,0.0011291718110442,mp2,8,3456456,4670375.zeus-master
depablo_mixed_temp,100,20,20,20,0.7979104705936134,0.1183309343320968,0.1264354805514444,3.9938639605452406e-05,0.0068220812827348,0.0009052781650098,mp2,8,3456456,4670375.zeus-master
lj_noisy,5,20,20,20,-5.596694927757758,0.0599928596219258,0.0012192600578043,9.356950037009428e-09,9.235668694600465e-05,5.094184671179391e-05,mp2,8,3456456,4670375.zeus-master
lj_noisy,10,20,20,20,-0.9664634205983398,0.0483971951348408,0.0021538442446725,3.172051172839474e-08,0.0001419955515302,5.579952558036894e-05,mp2,8,3456456,4670375.zeus-master
lj_noisy,25,20,20,20,0.4186478394516392,0.0418991916091733,0.0041168599721615,3.066855256861345e-07,0.0002909125527366,0.0001076981658115,mp2,8,3456456,4670375.zeus-master
lj_noisy,50,20,20,20,0.4853924924639834,0.0412348328252695,0.0047651600463273,1.6289007476189e-06,0.0005273752845823,0.0001953444560058,mp2,8,3456456,4670375.zeus-master
lj_noisy,75,20,20,20,0.4643486886257367,0.040327445757433,0.0050961142073924,4.220380594688322e-06,0.0006985380779951,0.0002874909085221,mp2,8,3456456,4670375.zeus-master
lj_noisy,100,20,20,20,0.394015551154966,0.0406461686499811,0.0053100823581802,8.130395895022956e-06,0.0008242803160101,0.0004884641151875,mp2,8,3456456,4670375.zeus-master
reid,5,20,20,20,0.1405787430194991,0.1159149980066472,0.0215407678341569,9.539823520032795e-09,9.80137730948627e-05,8.826270468489383e-05,mp2,8,3456456,4670375.zeus-master
reid,10,20,20,20,0.6899505232350477,0.0782463317491716,0.0283466184553629,3.60405581378842e-08,0.0001675922481808,0.0001201820921778,mp2,8,3456456,4670375.zeus-master
reid,25,20,20,20,0.9046918133985878,0.0483438307960792,0.0340742914742546,2.834228340020672e-07,0.0003611411200836,0.0001985970826353,mp2,8,3456456,4670375.zeus-master
reid,50,20,20,20,0.947037400440138,0.0361400017788587,0.03674579830514,1.4074591035750929e-06,0.0005824846681207,0.0002336909295991,mp2,8,3456456,4670375.zeus-master
reid,75,20,20,20,0.963896705510288,0.0313012977434676,0.0381454871288846,3.5735488765453736e-06,0.0008461076300591,0.0003027076192665,mp2,8,3456456,4670375.zeus-master
reid,100,20,20,20,0.969050042538855,0.0258262306455392,0.0392619338029476,6.647286772931693e-06,0.0010170521680265,0.0003698882530443,mp2,8,3456456,4670375.zeus-master
depablo_low_temp,5,20,20,20,0.8297572858998411,0.0795125923841106,0.0635535199374179,1.7048116407458736e-08,0.0002570939686847,4.902684104308719e-05,mp2,8,456,4670379.zeus-master
depablo_low_temp,10,20,20,20,0.9728217801712272,0.0377735483542101,0.0890919672458267,2.2722744619230185e-08,0.0001973333826754,5.334845964171109e-05,mp2,8,456,4670379.zeus-master
depablo_low_temp,25,20,20,20,0.9854784208541272,0.026039672588548,0.1113451632350467,1.1757699081016427e-07,0.0002307533752173,8.429901718045584e-05,mp2,8,456,4670379.zeus-master
depablo_low_temp,50,20,20,20,0.9860611876683572,0.0287580464198788,0.121923909291221,5.395501744942522e-07,0.0004086124477908,0.0001392593971104,mp2,8,456,4670379.zeus-master
depablo_low_temp,75,20,20,20,0.9891891127710905,0.028525525847335,0.1271388104990921,1.2217071116538137e-06,0.0004102503415197,0.0002099789999192,mp2,8,456,4670379.zeus-master
depablo_low_temp,100,20,20,20,0.988660132411658,0.0329776894606131,0.1309363081666797,2.3431149543284848e-06,0.0007582243997603,0.0003775377292186,mp2,8,456,4670379.zeus-master
depablo_mixed_temp,5,20,20,20,0.0474871441913096,0.3695942928824911,0.2267994575756468,6.803286119634322e-05,0.0137544580822577,0.0014075260667596,mp2,8,456,4670379.zeus-master
depablo_mixed_temp,10,20,20,20,0.2286585354371874,0.2993274559741009,0.1792210970466572,6.530328800096186e-05,0.0131429405591916,0.0010223072909866,mp2,8,456,4670379.zeus-master
