split,source,original_index,frame,coordinate_mse_shared,zero_displacement_mse_shared,explained_displacement_score_shared,shuffled_same_source_coordinate_mse_shared,shuffled_original_index_shared,valid_shared,total_shared,control_shared,transfer_only_shared,variant_shared,seed,coordinate_mse_ljonly,zero_displacement_mse_ljonly,explained_displacement_score_ljonly,shuffled_same_source_coordinate_mse_ljonly,shuffled_original_index_ljonly,valid_ljonly,total_ljonly,control_ljonly,transfer_only_ljonly,variant_ljonly,latent_dim,shared_minus_ljonly_mse
train,lj_noisy,178,100,7.4270601544412784e-06,3.592209759517573e-05,0.7932453656203329,1.0166250831389334e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,9.039418728207238e-06,3.592209759517573e-05,0.7483604985967964,1.2559930837596768e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.6123585737659596e-06
train,lj_noisy,178,125,1.1967976206506137e-05,5.6316977861570194e-05,0.7874890191031914,1.6114756363094784e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,1.419950604031328e-05,5.6316977861570194e-05,0.747864559152724,1.8379776520305317e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.2315298338071426e-06
train,lj_noisy,178,149,1.6117723134811968e-05,8.071761840255931e-05,0.8003196395806826,2.076162854791619e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,1.892148247861769e-05,8.071761840255931e-05,0.765584232375992,2.293763100169599e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.803759343805723e-06
train,lj_noisy,178,175,2.018196573772002e-05,0.0001124141563195,0.8204677560329122,2.471937841619365e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,2.3628219423699196e-05,0.0001124141563195,0.7898109971440932,2.7506190235726532e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.446253685979176e-06
train,lj_noisy,178,199,2.471775587764569e-05,0.0001466976100346,0.8315053948607988,2.860592940123752e-05,199,1,1,same_source_cyclic_next_latent,False,r16_d4,123,2.8027074222336523e-05,0.0001466976100346,0.808946620086553,3.262756217736751e-05,199,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.3093183446908336e-06
train,lj_noisy,199,0,6.722931971125945e-07,0.0,,1.6713478601104725e-07,42,1,1,same_source_cyclic_next_latent,False,r16_d4,123,1.0859871508728247e-06,0.0,,6.092880084906938e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.136939537602302e-07
train,lj_noisy,199,5,4.321278197494394e-07,9.910389309197853e-08,-3.360351609480978,5.351212450932508e-08,42,1,1,same_source_cyclic_next_latent,False,r16_d4,123,8.47628712108417e-07,9.910389309197853e-08,-7.552930522333073,4.277019911569369e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.1550089235897753e-07
train,lj_noisy,199,10,2.6643090222933097e-07,4.115824481232266e-07,0.3526669967482133,3.7945369513181504e-08,42,1,1,same_source_cyclic_next_latent,False,r16_d4,123,6.78706214785052e-07,4.115824481232266e-07,-0.649016419140034,3.392531198187499e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.1227531255572103e-07
train,lj_noisy,199,25,3.033790108020185e-07,2.667711441972642e-06,0.8862774264004789,5.269264420348918e-07,42,1,1,same_source_cyclic_next_latent,False,r16_d4,123,6.762386988157232e-07,2.667711441972642e-06,0.7465098030558817,5.616548719444836e-07,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.728596880137047e-07
train,lj_noisy,199,50,1.7877775917440886e-06,1.0994632248184644e-05,0.83739541701913,2.4299185952258995e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d4,123,2.1006562747061253e-06,1.0994632248184644e-05,0.808938013815517,2.146201495634159e-06,42,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.128786829620367e-07
