code_snapshot,code_version,cpus,frozen_manifest,frozen_manifest_sha256,job_id,kind,memory_gb,placement,queue,seed,smoke,status,submitted_at,variant,walltime,run_status,path,elapsed_seconds,max_rss_kb,epochs_completed,total_train_frame_samples,approx_optimizer_steps_per_epoch
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672471.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:06:23.274118+00:00,mp2_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d4_s2026_code_v2,17324.614326000214,6521028,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672472.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:06:27.812201+00:00,mp2_r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d8_s3456456_code_v2,20388.171446800232,6458936,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672473.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:06:32.142989+00:00,mp2_r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d8_s123_code_v2,15759.355179071426,6513984,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672474.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:06:36.094218+00:00,mp2_r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d8_s456_code_v2,17106.061149835587,6544132,25,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672475.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:06:40.560869+00:00,mp2_r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d8_s786_code_v2,19228.232141017914,6517052,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672476.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:06:45.514976+00:00,mp2_r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/mp2_r16_d8_s2026_code_v2,17075.589651584625,6536944,23,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672477.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:06:51.145685+00:00,ljonly_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/ljonly_r16_d4_s3456456_code_v2,9331.966223478317,4925232,52,12000,375
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672478.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:06:56.679674+00:00,ljonly_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/ljonly_r16_d4_s123_code_v2,11289.581848859787,4869532,58,12000,375
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672479.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:07:02.396721+00:00,ljonly_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/ljonly_r16_d4_s456_code_v2,12959.438265323639,4891172,60,12000,375
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672480.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:07:09.234093+00:00,ljonly_r16_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/ljonly_r16_d4_s786_code_v2,12840.87808585167,4827444,50,12000,375
