split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,job_id,run_status
train,lj_noisy,199,50,1.714847030598321e-06,1.0994632248184644e-05,0.8440287049272189,1.7225510191565263e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,75,4.813259693037253e-06,2.538395165174734e-05,0.8103817814077059,4.699845248978818e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,100,1.0063517947855871e-05,4.609454845194705e-05,0.7816766128353128,9.768299605639186e-06,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,125,1.6119780411827378e-05,7.323205500142649e-05,0.7798808129648501,1.569350206409581e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,149,2.2168662326294e-05,0.0001047892219503,0.7884452053971773,2.17485230677994e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,175,2.9873182938899845e-05,0.0001456237077945,0.7948604427718684,2.959769153676461e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,199,199,3.908797589247115e-05,0.0001901433715829,0.7944289324047437,3.921428287867457e-05,42,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,42,0,2.729951233959582e-07,0.0,,1.043238512465905e-06,102,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,42,5,1.758437093712928e-07,9.799599354209933e-08,-0.7943969239492419,9.035326797857124e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,42,10,1.2714508557110096e-07,4.02869886784174e-07,0.684401615156669,8.143637160173967e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,42,25,2.4651316721246985e-07,2.683668753888924e-06,0.908143221157512,8.949978678174375e-07,102,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,lj_noisy,42,50,1.1843136462630357e-06,1.129412430600496e-05,0.8951389577292549,2.121729039572529e-06,102,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
