variant,source,frame,mode,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
delta_transfer3,depablo_low_temp,25,free_rollout,3,0.29060234168258847,0.008283663371142917,0.2670732422681261,20,20
delta_transfer3,depablo_low_temp,25,oracle_ae,3,0.9591294831389195,0.0,0.0563002103487004,20,20
delta_transfer3,depablo_low_temp,25,teacher_forced,3,0.9594660505452369,7.732989230140543e-05,0.0554696224760319,20,20
delta_transfer3,depablo_low_temp,50,constant_acceleration,3,0.6275380906465061,0.0,0.1589392898757708,20,20
delta_transfer3,depablo_low_temp,50,constant_latent,3,0.49158085714694993,0.0,0.216256829872172,20,20
delta_transfer3,depablo_low_temp,50,constant_velocity,3,0.9836942529303571,0.0,0.0378075792640052,20,20
delta_transfer3,depablo_low_temp,50,constant_velocity_recent,3,0.9768955640018232,0.0,0.0454662460591043,20,20
delta_transfer3,depablo_low_temp,50,free_rollout,3,0.2009467280423802,0.006177221911563518,0.2969501871103662,20,20
delta_transfer3,depablo_low_temp,50,oracle_ae,3,0.9823999678167133,0.0,0.0376946714817736,20,20
delta_transfer3,depablo_low_temp,50,teacher_forced,3,0.982575382793348,8.200238912078924e-05,0.03765267497030097,20,20
delta_transfer3,depablo_low_temp,75,constant_acceleration,3,0.5774776888126085,0.0,0.17898846757175332,20,20
delta_transfer3,depablo_low_temp,75,constant_latent,3,0.47281419171203404,0.0,0.22329181608113427,20,20
delta_transfer3,depablo_low_temp,75,constant_velocity,3,0.9873053735481184,0.0,0.0335712908520135,20,20
delta_transfer3,depablo_low_temp,75,constant_velocity_recent,3,0.9547371652812822,0.0,0.0641466590902524,20,20
delta_transfer3,depablo_low_temp,75,free_rollout,3,0.21305182590500782,0.003650310678926544,0.2998312271581873,20,20
delta_transfer3,depablo_low_temp,75,oracle_ae,3,0.9847444677956708,0.0,0.0336065197599849,20,20
delta_transfer3,depablo_low_temp,75,teacher_forced,3,0.9848864690178641,0.00010527795275810988,0.03377247326687,20,20
delta_transfer3,depablo_low_temp,100,constant_acceleration,3,0.5900109402000839,0.0,0.1777632578668359,20,20
delta_transfer3,depablo_low_temp,100,constant_latent,3,0.45905169019481945,0.0,0.22831594987610723,20,20
delta_transfer3,depablo_low_temp,100,constant_velocity,3,0.9712368050832222,0.0,0.053417940748150296,20,20
delta_transfer3,depablo_low_temp,100,constant_velocity_recent,3,0.9146150191782624,0.0,0.09024279086410451,20,20
delta_transfer3,depablo_low_temp,100,free_rollout,3,0.253231893808006,0.009674541703295084,0.2926662555442316,20,20
delta_transfer3,depablo_low_temp,100,oracle_ae,3,0.9875095730417492,0.0,0.0320373144319389,20,20
delta_transfer3,depablo_low_temp,100,teacher_forced,3,0.9873553275763965,0.00010572536911137846,0.0323059175886965,20,20
delta_transfer3,depablo_mixed_temp,10,constant_acceleration,3,-1.1100689443044751,0.0,0.42857992598359446,20,20
delta_transfer3,depablo_mixed_temp,10,constant_latent,3,-0.3514416927024684,0.0,0.37363845936019596,20,20
