source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,experiment,scope,seed,budget
reid,initial_z,20,20,20,0.8996345914493933,0.0558352027749316,0.0392619338029476,latent_low_data,shared4,786,one_trajectory
reid,observed_prefix,20,20,20,0.9581920564663658,0.032910408774642,0.0392619338029476,latent_low_data,shared4,786,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,786,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,0.6644001328477009,0.184343351934418,0.1309363081666797,latent_low_data,shared4,786,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.6735432449402587,0.1772380993275731,0.1309363081666797,latent_low_data,shared4,786,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9850796293196676,0.034915138818134,0.1309363081666797,latent_low_data,shared4,786,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,786,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,0.7119053606580633,0.1541912011225842,0.1264354805514444,latent_low_data,shared4,786,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.693889346299533,0.1622692521893269,0.1264354805514444,latent_low_data,shared4,786,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.5869833139276465,0.180848064645802,0.1264354805514444,latent_low_data,shared4,786,thirty_trajectories
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,786,thirty_trajectories
lj_noisy,initial_pc1,20,20,20,0.0160966934489795,0.064118654708808,0.0053100823581802,latent_low_data,shared4,786,thirty_trajectories
lj_noisy,initial_z,20,20,20,-0.0894504035413958,0.0703170634133828,0.0053100823581802,latent_low_data,shared4,786,thirty_trajectories
lj_noisy,observed_prefix,20,20,20,0.308864818444113,0.0479949807692087,0.0053100823581802,latent_low_data,shared4,786,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,786,thirty_trajectories
reid,initial_pc1,20,20,20,-0.0500683337421239,0.1746982011436329,0.0392619338029476,latent_low_data,shared4,786,thirty_trajectories
reid,initial_z,20,20,20,0.5230153341233489,0.1113361843481108,0.0392619338029476,latent_low_data,shared4,786,thirty_trajectories
reid,observed_prefix,20,20,20,0.9570853834636976,0.0327614689604833,0.0392619338029476,latent_low_data,shared4,786,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.8600594331433045,0.1126251682841524,0.1309363081666797,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.860365230852802,0.1121005451071012,0.1309363081666797,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_low_temp,observed_prefix,20,20,20,0.92779473943497,0.0829940301117759,0.1309363081666797,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_mixed_temp,initial_pc1,20,20,20,0.8280642061467163,0.1163744632464707,0.1264354805514444,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_mixed_temp,initial_z,20,20,20,0.822625572521221,0.1183188190022607,0.1264354805514444,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_mixed_temp,observed_prefix,20,20,20,0.8965120604373451,0.0895594747202615,0.1264354805514444,latent_low_data_update_matched,shared3,123,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data_update_matched,shared3,123,one_trajectory
reid,initial_pc1,20,20,20,0.6918068624646577,0.0877531240165834,0.0392619338029476,latent_low_data_update_matched,shared3,123,one_trajectory
