source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
reid,100,ae,20,2.2385029433280577e-05,3.902776852555689e-05,5.742288936971818e-06,20,20,-0.0509347042209589,0.1761260258965194,0.0392620598956476,20,20,-0.0505302323207281,0.1760865572991156,0.0392619338029476,0.009464001,0.0027000266,latent_low_data,shared4,786
depablo_low_temp,0,ae,20,1.6898211441684909e-06,3.151232590425934e-06,2.2840966629189555e-07,0,0,,,,0,0,,,,0.0029410305,0.000602923,latent_low_data_update_matched,shared3,123
depablo_low_temp,10,ae,20,9.169063396541332e-07,1.4883696394463187e-06,3.454430212102011e-07,20,20,-0.5106617974463785,0.3001740339677781,0.0884626710061093,20,20,-0.5110972905640911,0.3012347074174465,0.0890919672458267,0.0019148594,0.0006941509,latent_low_data_update_matched,shared3,123
depablo_low_temp,50,ae,20,2.740480900342845e-06,1.7813507781738736e-06,3.699611117724544e-06,20,20,-0.4492712270352759,0.3619971415027976,0.1210184505747164,20,20,-0.4499419239288404,0.3634673258160319,0.121923909291221,0.0012012003,0.0026399677,latent_low_data_update_matched,shared3,123
depablo_low_temp,100,ae,20,1.3391445850174931e-05,1.1469085097814967e-05,1.5313806721906074e-05,20,20,-0.4188737047236257,0.3859797727782279,0.1299516855584822,20,20,-0.4196932164881006,0.3875371776103463,0.1309363081666797,0.004438433,0.005538144,latent_low_data_update_matched,shared3,123
depablo_mixed_temp,0,ae,20,1.7368489665159358e-06,3.241723834435106e-06,2.319741149392485e-07,0,0,,,,0,0,,,,0.0029739116,0.0006234253,latent_low_data_update_matched,shared3,123
depablo_mixed_temp,10,ae,20,1.6558036838887348e-05,1.575224637520023e-05,1.7363826736982445e-05,20,20,-0.2391164603570816,1.009441343229264,3.0043239701009563,20,20,-0.2261404391769048,0.3887843800346401,0.1792210970466572,0.0015487442,0.0010846908,latent_low_data_update_matched,shared3,123
depablo_mixed_temp,50,ae,20,1.936524365362402e-05,1.7471277922709304e-05,2.1259208577362187e-05,20,20,-0.3142319443439003,0.3360390265705064,0.1274876421800012,20,20,-0.3168917611655579,0.3377124630287015,0.1290510646927359,0.001980301,0.0023384336,latent_low_data_update_matched,shared3,123
depablo_mixed_temp,100,ae,20,3.0937121221086275e-05,2.9014592882958823e-05,3.28596493261557e-05,20,20,-0.3325730026525151,0.3505855326540768,0.1249158133632106,20,20,-0.3346684488328408,0.3524509609019648,0.1264354805514444,0.0045906785,0.004970004,latent_low_data_update_matched,shared3,123
reid,0,ae,20,1.0923433620746436e-06,2.084654863665492e-06,1.0003186936557997e-07,0,0,,,,0,0,,,,0.002462565,0.0004073522,latent_low_data_update_matched,shared3,123
reid,10,ae,20,5.80975875408285e-07,1.013813120209761e-06,1.4813863895568606e-07,20,20,-0.3209162651836537,0.1639409868512302,0.0283570467788776,20,20,-0.3202187675884542,0.1638541867656667,0.0283466184553629,0.0016463643,0.00039177985,latent_low_data_update_matched,shared3,123
reid,50,ae,20,2.6190886728727493e-06,3.560095956345321e-06,1.6780815229822111e-06,20,20,-0.0508067634339559,0.1658918506465852,0.0367468043569681,20,20,-0.0509681409731352,0.1659341351401869,0.03674579830514,0.0011248157,0.0011713973,latent_low_data_update_matched,shared3,123
reid,100,ae,20,1.4914076291461245e-05,2.0164570787528647e-05,9.663581727181736e-06,20,20,-1.0043439857261345,0.2128305696882307,0.0392620598956476,20,20,-1.004760459961174,0.212897143637349,0.0392619338029476,0.0034341943,0.0026736374,latent_low_data_update_matched,shared3,123
depablo_low_temp,0,ae,20,3.3910343603338334e-06,6.492681143299705e-06,2.89387806162722e-07,0,0,,,,0,0,,,,0.004170753,0.00069837,latent_low_data_update_matched,shared3,456
depablo_low_temp,10,ae,20,2.3254827809182644e-06,4.239772199809977e-06,4.111933959549674e-07,20,20,-0.2217193232534826,0.2709617781918496,0.0884626710061093,20,20,-0.2222049567982298,0.2719117214363441,0.0890919672458267,0.0031835749,0.00077276,latent_low_data_update_matched,shared3,456
depablo_low_temp,50,ae,20,2.6981257335023656e-06,1.6495073552391658e-06,3.746744089028198e-06,20,20,-0.2712346339495497,0.3389262726530432,0.1210184505747164,20,20,-0.2720866656104244,0.34032475219527,0.121923909291221,0.0013237766,0.002688011,latent_low_data_update_matched,shared3,456
depablo_low_temp,100,ae,20,1.110071092398357e-05,7.290024029771303e-06,1.4911397437344931e-05,20,20,-0.285022497965903,0.3723087511782069,0.1299516855584822,20,20,-0.285696260374328,0.3737589629267938,0.1309363081666797,0.003660955,0.005522568,latent_low_data_update_matched,shared3,456
depablo_mixed_temp,0,ae,20,3.0620121805213782e-06,5.839701151444387e-06,2.843233581018012e-07,0,0,,,,0,0,,,,0.003965934,0.0007224064,latent_low_data_update_matched,shared3,456
depablo_mixed_temp,10,ae,20,1.89005691296984e-05,2.0420808147036952e-05,1.7380329552452167e-05,20,20,-0.1881806610598693,0.979665123578161,3.0043239701009563,20,20,-0.04195286760329,0.3588814208379479,0.1792210970466572,0.0032452978,0.0011762395,latent_low_data_update_matched,shared3,456
depablo_mixed_temp,50,ae,20,1.988293008707842e-05,1.875277942531284e-05,2.1013082239562664e-05,20,20,-0.1333931439410962,0.3152831565821543,0.1274876421800012,20,20,-0.1349894266309379,0.3168197782553997,0.1290510646927359,0.0014716662,0.0024144163,latent_low_data_update_matched,shared3,456
depablo_mixed_temp,100,ae,20,2.923814951145687e-05,2.6180085387750297e-05,3.229621488003432e-05,20,20,-0.1611713710567583,0.3334541932679712,0.1249158133632106,20,20,-0.1623777599821763,0.3351457620797628,0.1264354805514444,0.0030699163,0.0049468754,latent_low_data_update_matched,shared3,456
reid,0,ae,20,1.3575722249470345e-06,2.5409057002434564e-06,1.74238743255728e-07,0,0,,,,0,0,,,,0.0027041065,0.00045454822,latent_low_data_update_matched,shared3,456
reid,10,ae,20,7.18987659809045e-07,1.2245710848901582e-06,2.134042816237525e-07,20,20,-0.4658191949159849,0.1737443099264055,0.0283570467788776,20,20,-0.4652147879371824,0.1736685684574003,0.0283466184553629,0.0017779311,0.00042769234,latent_low_data_update_matched,shared3,456
reid,50,ae,20,2.4647396315913283e-06,3.522834259683805e-06,1.4066451839767068e-06,20,20,0.1448173710985177,0.1563355389051139,0.0367468043569681,20,20,0.1448860998380814,0.1563474786649108,0.03674579830514,0.0012974839,0.0011733848,latent_low_data_update_matched,shared3,456
reid,100,ae,20,1.1863736017403423e-05,1.5708494174759835e-05,8.018977723622811e-06,20,20,-0.2133041771912356,0.166334197577089,0.0392620598956476,20,20,-0.2140600369126626,0.1663788959679368,0.0392619338029476,0.0023209434,0.0022909027,latent_low_data_update_matched,shared3,456
depablo_low_temp,0,ae,20,2.7186210843410662e-06,5.0096310189928776e-06,4.2761104666055873e-07,0,0,,,,0,0,,,,0.0037395414,0.0008630605,latent_low_data_update_matched,shared3,786
depablo_low_temp,10,ae,20,1.754792973684971e-06,2.9595892968359293e-06,5.499966501787413e-07,20,20,-0.4738722286467172,0.2934331286232918,0.0884626710061093,20,20,-0.4740137149466235,0.2944248740640271,0.0890919672458267,0.0027701778,0.0009345516,latent_low_data_update_matched,shared3,786
depablo_low_temp,50,ae,20,2.521906021968334e-06,1.1048081006492793e-06,3.939004095343535e-06,20,20,-0.397524459623694,0.3510621564462781,0.1210184505747164,20,20,-0.3981421345756537,0.3524873016050082,0.121923909291221,0.0006881651,0.0027008525,latent_low_data_update_matched,shared3,786
