source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,kind,dimension,seed
depablo_mixed_temp,10,20,20,0.3777019860071529,0.2502832467428338,0.1792210970466572,rollout,2,3456456
depablo_mixed_temp,25,20,20,0.4153085463899182,0.223346726556622,0.1814265265332104,rollout,2,3456456
depablo_mixed_temp,50,20,20,0.55753343887904,0.171970255988203,0.1290510646927359,rollout,2,3456456
depablo_mixed_temp,75,20,20,0.7116710144490451,0.1411570163350505,0.1721180025747532,rollout,2,3456456
depablo_mixed_temp,100,20,20,0.8946244089064336,0.0932359887116255,0.1264354805514444,rollout,2,3456456
lj_noisy,5,20,20,-14.63783479642026,0.1151878994653087,0.0012192600578043,rollout,2,3456456
lj_noisy,10,20,20,-9.950841816401429,0.1368155880941811,0.0021538442446725,rollout,2,3456456
lj_noisy,25,20,20,-7.747484097002404,0.1747555964564436,0.0041168599721615,rollout,2,3456456
lj_noisy,50,20,20,-7.96253855515466,0.1890837688614394,0.0047651600463273,rollout,2,3456456
lj_noisy,75,20,20,-7.67051788078127,0.1869440819588655,0.0050961142073924,rollout,2,3456456
lj_noisy,100,20,20,-8.298981687341747,0.1959044596879599,0.0053100823581802,rollout,2,3456456
reid,5,20,20,-1.270192371212668,0.182590034381256,0.0215407678341569,ae,2,123
reid,10,20,20,-0.2752532784371935,0.1607397019666871,0.0283466184553629,ae,2,123
reid,25,20,20,0.5999503560801009,0.0999297485998884,0.0340742914742546,ae,2,123
reid,50,20,20,0.8722125517377669,0.0605461376011105,0.03674579830514,ae,2,123
reid,75,20,20,0.92469421250389,0.0473685637339117,0.0381454871288846,ae,2,123
reid,100,20,20,0.9239428047676082,0.0451352948862981,0.0392619338029476,ae,2,123
depablo_low_temp,5,20,20,0.2905965852487567,0.155943903208608,0.0635535199374179,ae,2,123
depablo_low_temp,10,20,20,0.6129636754515891,0.1394281269852701,0.0890919672458267,ae,2,123
depablo_low_temp,25,20,20,0.8613521426988587,0.0960981464051129,0.1113451632350467,ae,2,123
depablo_low_temp,50,20,20,0.9451203433840338,0.0615222119344321,0.121923909291221,ae,2,123
depablo_low_temp,75,20,20,0.9698802280313455,0.0479727717992633,0.1271388104990921,ae,2,123
depablo_low_temp,100,20,20,0.978201718687384,0.0438039458619791,0.1309363081666797,ae,2,123
depablo_mixed_temp,5,20,20,0.108261319387923,0.383099062917096,0.2267994575756468,ae,2,123
depablo_mixed_temp,10,20,20,0.4830367014384066,0.2497554422781049,0.1792210970466572,ae,2,123
depablo_mixed_temp,25,20,20,0.8082209642557912,0.156674207288979,0.1814265265332104,ae,2,123
depablo_mixed_temp,50,20,20,0.77736800800558,0.1274630496436576,0.1290510646927359,ae,2,123
depablo_mixed_temp,75,20,20,0.9371634868573724,0.0775678465606864,0.1721180025747532,ae,2,123
depablo_mixed_temp,100,20,20,0.8972666571005027,0.0860407830685571,0.1264354805514444,ae,2,123
lj_noisy,5,20,20,-49.49604115763256,0.2193012059988131,0.0012192600578043,ae,2,123
lj_noisy,10,20,20,-18.46211776320153,0.1811584895878186,0.0021538442446725,ae,2,123
lj_noisy,25,20,20,-3.152158678314363,0.1143114666196902,0.0041168599721615,ae,2,123
lj_noisy,50,20,20,-0.444123988813943,0.0667459504761012,0.0047651600463273,ae,2,123
lj_noisy,75,20,20,0.2179462385372766,0.0487079352705214,0.0050961142073924,ae,2,123
lj_noisy,100,20,20,0.2652435945137339,0.0514691737028938,0.0053100823581802,ae,2,123
reid,5,20,20,-1.3010383148316542,0.1836802915434477,0.0215407678341569,rollout,2,123
reid,10,20,20,-0.39818257931694,0.1684163157873097,0.0283466184553629,rollout,2,123
reid,25,20,20,0.4340469705929407,0.1216082609480772,0.0340742914742546,rollout,2,123
reid,50,20,20,0.7468543243099302,0.0843063440164607,0.03674579830514,rollout,2,123
reid,75,20,20,0.8286757315030067,0.0653247449992313,0.0381454871288846,rollout,2,123
reid,100,20,20,0.8568291437459763,0.0582049985275527,0.0392619338029476,rollout,2,123
depablo_low_temp,5,20,20,0.3526682368451866,0.1452241695447667,0.0635535199374179,rollout,2,123
depablo_low_temp,10,20,20,0.6739836469517275,0.1260060653371897,0.0890919672458267,rollout,2,123
depablo_low_temp,25,20,20,0.8805940592419714,0.094314079996006,0.1113451632350467,rollout,2,123
depablo_low_temp,50,20,20,0.9431328174057748,0.0744532239515868,0.121923909291221,rollout,2,123
depablo_low_temp,75,20,20,0.9625680590675386,0.060273526211503,0.1271388104990921,rollout,2,123
depablo_low_temp,100,20,20,0.965284671376759,0.0495483620579707,0.1309363081666797,rollout,2,123
depablo_mixed_temp,5,20,20,0.1154154794629831,0.3509760665132476,0.2267994575756468,rollout,2,123
depablo_mixed_temp,10,20,20,0.2611587689935509,0.2834554001018765,0.1792210970466572,rollout,2,123
depablo_mixed_temp,25,20,20,0.454179021686699,0.2346772403292922,0.1814265265332104,rollout,2,123
depablo_mixed_temp,50,20,20,0.5794615081394063,0.1721004150189692,0.1290510646927359,rollout,2,123
depablo_mixed_temp,75,20,20,0.6947086339192419,0.1301819874097744,0.1721180025747532,rollout,2,123
depablo_mixed_temp,100,20,20,0.9225579711710908,0.0774693029198334,0.1264354805514444,rollout,2,123
lj_noisy,5,20,20,-63.394789985701095,0.2481240077090219,0.0012192600578043,rollout,2,123
lj_noisy,10,20,20,-31.905559984923457,0.2410581250332214,0.0021538442446725,rollout,2,123
lj_noisy,25,20,20,-13.891282300116066,0.2309046924785488,0.0041168599721615,rollout,2,123
lj_noisy,50,20,20,-10.3165102582759,0.2177472881810536,0.0047651600463273,rollout,2,123
lj_noisy,75,20,20,-8.129491564230577,0.199319969988945,0.0050961142073924,rollout,2,123
lj_noisy,100,20,20,-6.2032598784813215,0.1762918907525729,0.0053100823581802,rollout,2,123
reid,5,20,20,-0.6507173255822574,0.1655692505191968,0.0215407678341569,ae,2,456
reid,10,20,20,-0.4280946851747729,0.174677351401477,0.0283466184553629,ae,2,456
reid,25,20,20,0.101913691148827,0.1505575223105086,0.0340742914742546,ae,2,456
reid,50,20,20,0.7460879042321076,0.0826992599596971,0.03674579830514,ae,2,456
reid,75,20,20,0.8472197624709872,0.0666926317861023,0.0381454871288846,ae,2,456
reid,100,20,20,0.8674392159527706,0.0569237844334278,0.0392619338029476,ae,2,456
depablo_low_temp,5,20,20,0.8995893544626695,0.0648285750612957,0.0635535199374179,ae,2,456
depablo_low_temp,10,20,20,0.8686070067993181,0.0960573518507923,0.0890919672458267,ae,2,456
depablo_low_temp,25,20,20,0.8535562027030731,0.1059629528601747,0.1113451632350467,ae,2,456
depablo_low_temp,50,20,20,0.9571584751261176,0.0596911542538602,0.121923909291221,ae,2,456
