source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
depablo_mixed_temp,calibration,27,0,-0.4558721303293883,-2.8936614990234375,-4.3719024658203125,-2.896235227584839,-4.3770928382873535,-2.8970909118652344,-4.379032135009766
depablo_mixed_temp,calibration,28,157,0.2816505561721126,-2.9123902320861816,-4.406445503234863,-2.936717987060547,-4.4516401290893555,-2.936115264892578,-4.449004650115967
depablo_mixed_temp,calibration,29,171,0.12269577325680238,-2.908060312271118,-4.397640705108643,-2.947423219680786,-4.472041130065918,-2.9666130542755127,-4.509256362915039
lj_noisy,calibration,1,199,0.39382355163490057,-1.0266153812408447,-1.2476115226745605,-1.026566743850708,-1.2479405403137207,-1.026482105255127,-1.2491289377212524
lj_noisy,calibration,2,42,0.4524944084812542,-1.0494391918182373,-1.2860370874404907,-1.0495494604110718,-1.2866111993789673,-1.0498868227005005,-1.2884966135025024
lj_noisy,calibration,3,102,0.4638232928316503,-1.0241724252700806,-1.2451509237289429,-1.024048089981079,-1.2453644275665283,-1.0236270427703857,-1.2461514472961426
lj_noisy,calibration,4,99,0.47423245897737093,-1.040472388267517,-1.2719306945800781,-1.0404746532440186,-1.2722725868225098,-1.0406521558761597,-1.2738169431686401
lj_noisy,calibration,5,174,0.2640905159988469,-1.0421518087387085,-1.2714433670043945,-1.0421479940414429,-1.2717427015304565,-1.0423474311828613,-1.273195743560791
lj_noisy,calibration,6,96,0.3953868800303901,-1.0365040302276611,-1.2623611688613892,-1.036405086517334,-1.2625854015350342,-1.0361099243164062,-1.26334547996521
lj_noisy,calibration,7,70,0.43841137654993123,-1.0355044603347778,-1.2653409242630005,-1.0355520248413086,-1.2657665014266968,-1.0356587171554565,-1.2672606706619263
lj_noisy,calibration,8,93,0.3458446346494291,-1.0130733251571655,-1.2268316745758057,-1.0129879713058472,-1.2270700931549072,-1.0127812623977661,-1.2281804084777832
lj_noisy,calibration,9,104,0.7697956319953732,-1.0314165353775024,-1.2562981843948364,-1.0315309762954712,-1.2568377256393433,-1.0319374799728394,-1.2587547302246094
lj_noisy,calibration,10,103,0.40072825372863113,-1.0218958854675293,-1.2406532764434814,-1.0219736099243164,-1.2411959171295166,-1.0222225189208984,-1.2431012392044067
lj_noisy,calibration,11,73,0.3066940496578263,-1.0138428211212158,-1.2262992858886719,-1.0137897729873657,-1.2266254425048828,-1.0136492252349854,-1.2278879880905151
lj_noisy,calibration,12,36,0.35827926783046843,-1.027483344078064,-1.247124433517456,-1.0276398658752441,-1.2477136850357056,-1.028368353843689,-1.250138282775879
lj_noisy,calibration,13,160,0.38262502592480324,-1.0092157125473022,-1.224422574043274,-1.008981466293335,-1.2244815826416016,-1.0082119703292847,-1.224817156791687
lj_noisy,calibration,14,25,0.4054765821691828,-1.0263348817825317,-1.2472368478775024,-1.0264177322387695,-1.2477648258209229,-1.0267436504364014,-1.249606966972351
lj_noisy,calibration,15,114,0.43644943605765246,-1.0286550521850586,-1.2500492334365845,-1.0285472869873047,-1.2502621412277222,-1.0281639099121094,-1.2509478330612183
lj_noisy,calibration,16,52,0.37828228825484483,-1.0233449935913086,-1.243635892868042,-1.0234994888305664,-1.2442851066589355,-1.0240627527236938,-1.2466415166854858
lj_noisy,calibration,17,198,0.4244426766853879,-1.0297304391860962,-1.25198233127594,-1.0297338962554932,-1.2523607015609741,-1.0297720432281494,-1.253544569015503
