source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
depablo_low_temp,25,20,20,0.8244669389913273,0.1172581138562741,0.1113451632350467,2,456,velocity_transfer3,rollout
depablo_low_temp,50,20,20,0.8681597355074424,0.1109061328275712,0.121923909291221,2,456,velocity_transfer3,rollout
depablo_low_temp,75,20,20,0.9031478999273626,0.0947612482277434,0.1271388104990921,2,456,velocity_transfer3,rollout
depablo_low_temp,100,20,20,0.9335181582673886,0.0736381600605857,0.1309363081666797,2,456,velocity_transfer3,rollout
depablo_mixed_temp,10,20,20,-0.2433042705438461,0.3175160594891063,0.1792210970466572,2,456,velocity_transfer3,rollout
depablo_mixed_temp,25,20,20,-0.3119363508237991,0.3955983545347835,0.1814265265332104,2,456,velocity_transfer3,rollout
depablo_mixed_temp,50,20,20,-1.0521617247901092,0.3935135178157362,0.1290510646927359,2,456,velocity_transfer3,rollout
depablo_mixed_temp,75,20,20,-0.4359852290912949,0.3748251834400191,0.1721180025747532,2,456,velocity_transfer3,rollout
depablo_mixed_temp,100,20,20,-0.9288503619369664,0.3837314144773839,0.1264354805514444,2,456,velocity_transfer3,rollout
lj_noisy,10,20,20,-3.6187765215514665,0.0866312312242032,0.0021538442446725,2,456,velocity_transfer3,rollout
lj_noisy,25,20,20,-1.4262536125989564,0.0844752696307321,0.0041168599721615,2,456,velocity_transfer3,rollout
lj_noisy,50,20,20,-1.099542701862208,0.081394459779501,0.0047651600463273,2,456,velocity_transfer3,rollout
lj_noisy,75,20,20,-0.4045967567153807,0.0659528447396633,0.0050961142073924,2,456,velocity_transfer3,rollout
lj_noisy,100,20,20,0.1937263216880353,0.0524555143190738,0.0053100823581802,2,456,velocity_transfer3,rollout
reid,10,20,20,0.30315914827711,0.1111174541610114,0.0283466184553629,2,456,velocity_transfer3,ae
reid,25,20,20,0.8228391980764119,0.0571872835972515,0.0340742914742546,2,456,velocity_transfer3,ae
reid,50,20,20,0.9448604819996118,0.0307141000128332,0.03674579830514,2,456,velocity_transfer3,ae
reid,75,20,20,0.964030452575538,0.0287372839840883,0.0381454871288846,2,456,velocity_transfer3,ae
reid,100,20,20,0.957377483647083,0.0318855254650376,0.0392619338029476,2,456,velocity_transfer3,ae
