dimension,variant,kind,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
6,velocity_transfer3,rollout,depablo_mixed_temp,50,3,-1.1992701764182379,0.9472887090879336,0.4047203975620452,20,20
6,velocity_transfer3,rollout,depablo_mixed_temp,75,3,-0.8005987565815991,0.5754085481253824,0.42792372763373904,20,20
6,velocity_transfer3,rollout,depablo_mixed_temp,100,3,-1.3671293149670098,0.716070346868107,0.4223533632871305,20,20
6,velocity_transfer3,rollout,lj_noisy,10,3,-1.348273644834281,1.6495983327448818,0.05693930535268114,20,20
6,velocity_transfer3,rollout,lj_noisy,25,3,-0.4967573224888209,0.2798614037644399,0.06497985950371797,20,20
6,velocity_transfer3,rollout,lj_noisy,50,3,-0.5316217328222083,0.2613435539441287,0.0680776892887988,20,20
6,velocity_transfer3,rollout,lj_noisy,75,3,-0.21255867955048768,0.11523519755990018,0.06389708094475677,20,20
6,velocity_transfer3,rollout,lj_noisy,100,3,0.1334370425976712,0.1511582051603349,0.05792990343708523,20,20
6,velocity_transfer3,rollout,reid,10,3,-0.012731938924556522,0.3757225804625283,0.13772972581037957,20,20
6,velocity_transfer3,rollout,reid,25,3,0.20770078659593563,0.6925147184502788,0.1250353171597837,20,20
6,velocity_transfer3,rollout,reid,50,3,0.4601822322720279,0.6333270839990145,0.10257654201123939,20,20
6,velocity_transfer3,rollout,reid,75,3,0.6424669017506209,0.45048554237718313,0.08516382843553362,20,20
6,velocity_transfer3,rollout,reid,100,3,0.6224832202939712,0.526399216830147,0.08517873996392189,20,20
8,acceleration_transfer3,ae,depablo_low_temp,10,3,0.7681761970344804,0.06980583105915103,0.11929675785072147,20,20
