split,trajectory,source,frame,condition,position_mse,normalized_position_mse,start
train,42,lj_noisy,50,optimized_code,1.3558230875787558e-06,0.9665002226829529,normal_0
train,42,lj_noisy,50,optimized_code,3.445148877290194e-06,2.9828567504882812,normal_1
train,40,lj_noisy,75,encoder,4.229053956805728e-06,2.154873847961426,
train,40,lj_noisy,75,same_source_same_time_permuted,6.4900359575403854e-06,3.033949136734009,
train,40,lj_noisy,75,training_source_time_mean,5.014040652895346e-06,2.4748547077178955,
train,40,lj_noisy,75,wrong_time,1.5501467714784667e-05,4.715617656707764,
train,40,lj_noisy,75,optimized_code,3.967845714214491e-06,2.1076266765594482,encoder
train,40,lj_noisy,75,optimized_code,8.705041182111017e-06,6.37644624710083,normal_0
train,40,lj_noisy,75,optimized_code,9.181645509670489e-06,6.881834030151367,normal_1
train,41,lj_noisy,75,encoder,4.6015279622224625e-06,2.401425838470459,
train,41,lj_noisy,75,same_source_same_time_permuted,4.8160291044041514e-06,2.5118441581726074,
train,41,lj_noisy,75,training_source_time_mean,4.7445296331716236e-06,2.5191311836242676,
train,41,lj_noisy,75,wrong_time,1.8358538000029512e-05,6.525397777557373,
train,41,lj_noisy,75,optimized_code,4.584471298585413e-06,2.414865732192993,encoder
train,41,lj_noisy,75,optimized_code,1.1716526387317572e-05,8.710816383361816,normal_0
train,41,lj_noisy,75,optimized_code,1.3080051758151967e-05,9.780915260314941,normal_1
train,42,lj_noisy,75,encoder,2.5878164251480484e-06,1.6256046295166016,
train,42,lj_noisy,75,same_source_same_time_permuted,2.889124061766779e-06,1.970439076423645,
train,42,lj_noisy,75,training_source_time_mean,2.6596731004246976e-06,1.6566309928894043,
train,42,lj_noisy,75,wrong_time,1.8819035176420584e-05,6.562160491943359,
train,42,lj_noisy,75,optimized_code,2.55179497798963e-06,1.5939363241195679,encoder
train,42,lj_noisy,75,optimized_code,1.5385863662231714e-05,13.866487503051758,normal_0
train,42,lj_noisy,75,optimized_code,1.3039592886343598e-05,11.537031173706055,normal_1
train,40,lj_noisy,100,encoder,8.594866812927648e-06,4.033566951751709,
train,40,lj_noisy,100,same_source_same_time_permuted,1.0960524377878755e-05,5.580298900604248,
train,40,lj_noisy,100,training_source_time_mean,9.366421181766782e-06,4.696500778198242,
train,40,lj_noisy,100,wrong_time,2.4519637008779682e-05,7.609714984893799,
train,40,lj_noisy,100,optimized_code,7.244281732710078e-06,3.818938732147217,encoder
train,40,lj_noisy,100,optimized_code,1.8993430785485543e-05,13.972468376159668,normal_0
train,40,lj_noisy,100,optimized_code,1.6022988347685896e-05,11.505000114440918,normal_1
train,41,lj_noisy,100,encoder,9.772700650501065e-06,5.071881294250488,
train,41,lj_noisy,100,same_source_same_time_permuted,1.0122894309461117e-05,5.189298629760742,
train,41,lj_noisy,100,training_source_time_mean,9.772798875928856e-06,5.139049053192139,
train,41,lj_noisy,100,wrong_time,2.8963200747966766e-05,10.874659538269043,
train,41,lj_noisy,100,optimized_code,9.609198968973942e-06,5.049059867858887,encoder
train,41,lj_noisy,100,optimized_code,2.8590773581527174e-05,20.180984497070312,normal_0
train,41,lj_noisy,100,optimized_code,3.2311261747963727e-05,22.94733428955078,normal_1
train,42,lj_noisy,100,encoder,5.053646873420803e-06,3.1442790031433105,
train,42,lj_noisy,100,same_source_same_time_permuted,5.707853688363684e-06,3.8164522647857666,
train,42,lj_noisy,100,training_source_time_mean,5.1933457143604755e-06,3.2027010917663574,
train,42,lj_noisy,100,wrong_time,2.78056049864972e-05,10.064690589904785,
train,42,lj_noisy,100,optimized_code,5.042249995312886e-06,3.151068687438965,encoder
train,42,lj_noisy,100,optimized_code,3.0953924579080194e-05,24.917552947998047,normal_0
train,42,lj_noisy,100,optimized_code,2.8463258786359802e-05,22.343446731567383,normal_1
val,0,reid,5,encoder,2.750462968492684e-08,0.006511567626148462,
val,0,reid,5,same_source_same_time_permuted,8.915248628227346e-08,0.015596387907862663,
val,0,reid,5,training_source_time_mean,6.966197929614282e-08,0.012928694486618042,
val,0,reid,5,wrong_time,1.0274063242832199e-05,1.9306710958480835,
val,0,reid,5,optimized_code,2.6171491640525346e-08,0.00633032713085413,encoder
val,0,reid,5,optimized_code,9.622858954116964e-08,0.08043881505727768,normal_0
val,0,reid,5,optimized_code,9.754193115441012e-07,0.9269445538520813,normal_1
val,1,reid,5,encoder,3.623709332600811e-08,0.007292617112398148,
val,1,reid,5,same_source_same_time_permuted,8.040451149327055e-08,0.014050893485546112,
val,1,reid,5,training_source_time_mean,2.8980577937431917e-08,0.006218739319592714,
val,1,reid,5,wrong_time,1.0521871445234865e-05,1.8160467147827148,
val,1,reid,5,optimized_code,2.0872123585036206e-08,0.005156054627150297,encoder
val,1,reid,5,optimized_code,3.375188128984519e-08,0.020004071295261383,normal_0
val,1,reid,5,optimized_code,4.53103865538651e-08,0.03240547329187393,normal_1
val,2,reid,5,encoder,7.995851092346129e-08,0.015293479897081852,
val,2,reid,5,same_source_same_time_permuted,3.9726550937757565e-08,0.008759946562349796,
val,2,reid,5,training_source_time_mean,3.3840446889144005e-08,0.007943039759993553,
val,2,reid,5,wrong_time,1.4755550182599109e-05,2.6721606254577637,
val,2,reid,5,optimized_code,2.6542757325387356e-08,0.006166341248899698,encoder
val,2,reid,5,optimized_code,2.746196798852907e-07,0.2611386775970459,normal_0
val,2,reid,5,optimized_code,3.203877838586777e-07,0.30703991651535034,normal_1
val,0,reid,10,encoder,5.551239468104541e-08,0.016788726672530174,
val,0,reid,10,same_source_same_time_permuted,1.0701486985453812e-07,0.026522468775510788,
val,0,reid,10,training_source_time_mean,9.72730020976087e-08,0.024140438064932823,
val,0,reid,10,wrong_time,2.1636464225593954e-05,4.116798400878906,
val,0,reid,10,optimized_code,4.944862652678239e-08,0.015889229252934456,encoder
val,0,reid,10,optimized_code,9.136359153671947e-07,0.8732549548149109,normal_0
val,0,reid,10,optimized_code,1.049453203449957e-06,1.0051212310791016,normal_1
val,1,reid,10,encoder,7.425948211903233e-08,0.019478153437376022,
val,1,reid,10,same_source_same_time_permuted,1.4000963233229413e-07,0.02909514121711254,
val,1,reid,10,training_source_time_mean,7.202089591373806e-08,0.018809258937835693,
val,1,reid,10,wrong_time,1.969631739484612e-05,4.089485168457031,
val,1,reid,10,optimized_code,6.926783413518933e-08,0.018351245671510696,encoder
val,1,reid,10,optimized_code,3.1109860287870106e-07,0.2639836072921753,normal_0
val,1,reid,10,optimized_code,5.099182089907117e-07,0.4683888852596283,normal_1
val,2,reid,10,encoder,1.5325915114772215e-07,0.03917110711336136,
val,2,reid,10,same_source_same_time_permuted,1.2423208772815997e-07,0.03367344290018082,
val,2,reid,10,training_source_time_mean,9.209552587208236e-08,0.030106300488114357,
val,2,reid,10,wrong_time,2.4522963940398768e-05,5.516985893249512,
val,2,reid,10,optimized_code,8.211255675405482e-08,0.023656979203224182,encoder
val,2,reid,10,optimized_code,2.013260314015497e-07,0.1506427377462387,normal_0
val,2,reid,10,optimized_code,5.318574949342292e-07,0.4821469783782959,normal_1
val,0,reid,25,encoder,3.4567781881378323e-07,0.12219691276550293,
val,0,reid,25,same_source_same_time_permuted,4.484169267016114e-07,0.1462704986333847,
val,0,reid,25,training_source_time_mean,4.936588879900228e-07,0.14629027247428894,
