split,source,frame,condition,start,total,position_mse,normalized_position_mse
train,lj_noisy,100,same_source_same_time_permuted,,3,8.930424125234518e-06,4.862016598383586
train,lj_noisy,100,training_source_time_mean,,3,8.110855257352037e-06,4.346083641052246
train,lj_noisy,100,wrong_time,,3,2.7096147581081215e-05,9.516355037689209
train,reid,5,encoder,,3,3.50179609753809e-08,0.008531851693987846
train,reid,5,optimized_code,encoder,3,1.8804151569185024e-08,0.0050340820259104175
train,reid,5,optimized_code,normal_0,3,1.008986449354173e-06,0.9986335833867391
train,reid,5,optimized_code,normal_1,3,9.72311624991562e-07,0.926176647345225
train,reid,5,same_source_same_time_permuted,,3,9.114533957207034e-08,0.02046369994059205
train,reid,5,training_source_time_mean,,3,3.494441536133763e-08,0.010567171964794397
train,reid,5,wrong_time,,3,9.145641646076305e-06,1.911140004793803
train,reid,10,encoder,,3,5.3488416658827496e-08,0.01731826923787594
train,reid,10,optimized_code,encoder,3,3.498920027785365e-08,0.01175640569999814
train,reid,10,optimized_code,normal_0,3,9.124417488237668e-07,0.8715408941109976
train,reid,10,optimized_code,normal_1,3,6.378850656574286e-07,0.6041677544514338
train,reid,10,same_source_same_time_permuted,,3,1.4886420984794313e-07,0.06519794588287671
train,reid,10,training_source_time_mean,,3,6.50962519443965e-08,0.035035317142804466
train,reid,10,wrong_time,,3,1.7991016648011282e-05,3.8938642342885337
train,reid,25,encoder,,3,2.818425871945844e-07,0.10141025607784589
train,reid,25,optimized_code,encoder,3,2.45198714665662e-07,0.09103598507742088
train,reid,25,optimized_code,normal_0,3,5.481111789625478e-07,0.3463183417916298
train,reid,25,optimized_code,normal_1,3,7.779532230263916e-07,0.5399132867654165
train,reid,25,same_source_same_time_permuted,,3,7.706395119081814e-07,0.535407563050588
train,reid,25,training_source_time_mean,,3,4.237962040557856e-07,0.2674371252457301
train,reid,25,wrong_time,,3,1.981913737836294e-05,4.692859967549642
train,reid,50,encoder,,3,1.390807424191583e-06,0.4997794379790624
train,reid,50,optimized_code,encoder,3,1.2349385916839613e-06,0.47415485108892125
train,reid,50,optimized_code,normal_0,3,3.7735320195982545e-06,2.1179672678311667
train,reid,50,optimized_code,normal_1,3,4.009475636242617e-06,2.6133857568105063
train,reid,50,same_source_same_time_permuted,,3,3.5968695707803513e-06,2.6798913280169168
train,reid,50,training_source_time_mean,,3,2.014580066618995e-06,1.2578125794728596
train,reid,50,wrong_time,,3,9.519500660341388e-06,2.3228136698404946
train,reid,75,encoder,,3,3.3357080866380784e-06,1.2339898943901062
train,reid,75,optimized_code,encoder,3,3.107920728477135e-06,1.2026267796754837
train,reid,75,optimized_code,normal_0,3,1.2671322717020908e-05,4.427964289983113
train,reid,75,optimized_code,normal_1,3,1.1817149546307823e-05,5.097415367762248
train,reid,75,same_source_same_time_permuted,,3,8.735358884829717e-06,6.487619161605835
train,reid,75,training_source_time_mean,,3,5.01741290766707e-06,3.105165680249532
train,reid,75,wrong_time,,3,2.1243256924208254e-05,5.2854078610738116
train,reid,100,encoder,,3,6.880560666407594e-06,2.406368136405945
train,reid,100,optimized_code,encoder,3,6.205401708333132e-06,2.3995954195658364
train,reid,100,optimized_code,normal_0,3,2.3333641365752555e-05,8.15321683883667
train,reid,100,optimized_code,normal_1,3,2.3083250198396854e-05,8.16602897644043
train,reid,100,same_source_same_time_permuted,,3,1.752091672339399e-05,12.704726060231527
train,reid,100,training_source_time_mean,,3,9.878295410696106e-06,6.103562672932942
train,reid,100,wrong_time,,3,3.088193746710507e-05,8.048978487650553
val,depablo_low_temp,5,encoder,,3,9.044222556061261e-08,0.01981539170568188
val,depablo_low_temp,5,optimized_code,encoder,3,1.260708130483105e-08,0.003135318673836688
val,depablo_low_temp,5,optimized_code,normal_0,3,1.1405376009558192e-06,1.067743957042694
val,depablo_low_temp,5,optimized_code,normal_1,3,1.2970528284010168e-06,1.2000224391619365
val,depablo_low_temp,5,same_source_same_time_permuted,,3,2.8096656852956886e-07,0.050508846528828144
val,depablo_low_temp,5,training_source_time_mean,,3,1.0383534387869986e-07,0.018968216609209776
val,depablo_low_temp,5,wrong_time,,3,9.080463314603548e-06,1.9581917921702068
val,depablo_low_temp,10,encoder,,3,6.799570210584231e-08,0.020022370386868715
val,depablo_low_temp,10,optimized_code,encoder,3,1.1823227286100746e-08,0.0038852752186357975
val,depablo_low_temp,10,optimized_code,normal_0,3,1.1474638507517436e-06,1.1223881517847378
val,depablo_low_temp,10,optimized_code,normal_1,3,1.3479436423343334e-06,1.2540087302525837
val,depablo_low_temp,10,same_source_same_time_permuted,,3,3.473861861872744e-07,0.06772113405168056
val,depablo_low_temp,10,training_source_time_mean,,3,1.0602232425327429e-07,0.023240196673820417
val,depablo_low_temp,10,wrong_time,,3,1.8027611076831818e-05,4.203906774520874
val,depablo_low_temp,25,encoder,,3,6.970882064175991e-08,0.03251975836853186
