source,rollout_steps,used_excluded,total_excluded,p_ratio_r2_excluded,p_ratio_mae_excluded,target_variance_excluded,seed,condition_excluded,kind,used_included,total_included,p_ratio_r2_included,p_ratio_mae_included,target_variance_included,condition_included,r2_excluded_minus_included
reid,50,20,20,0.8900715619963818,0.0471619017800503,0.03674579830514,123,exclude_mixed,ae,20,20,0.8722125517377669,0.0605461376011105,0.03674579830514,include_mixed,0.017859010258614916
reid,75,20,20,0.8835721777588398,0.056375970045247,0.0381454871288846,123,exclude_mixed,ae,20,20,0.92469421250389,0.0473685637339117,0.0381454871288846,include_mixed,-0.04112203474505016
reid,100,20,20,0.8182991611298612,0.0722608455978825,0.0392619338029476,123,exclude_mixed,ae,20,20,0.9239428047676082,0.0451352948862981,0.0392619338029476,include_mixed,-0.10564364363774692
depablo_low_temp,5,20,20,0.1928508951510393,0.2111812013924755,0.0635535199374179,123,exclude_mixed,ae,20,20,0.2905965852487567,0.155943903208608,0.0635535199374179,include_mixed,-0.09774569009771741
depablo_low_temp,10,20,20,0.5018949059288782,0.1902075123641818,0.0890919672458267,123,exclude_mixed,ae,20,20,0.6129636754515891,0.1394281269852701,0.0890919672458267,include_mixed,-0.11106876952271094
depablo_low_temp,25,20,20,0.8759797796432565,0.0986658218955906,0.1113451632350467,123,exclude_mixed,ae,20,20,0.8613521426988587,0.0960981464051129,0.1113451632350467,include_mixed,0.014627636944397726
depablo_low_temp,50,20,20,0.966837602128529,0.0521735506443034,0.121923909291221,123,exclude_mixed,ae,20,20,0.9451203433840338,0.0615222119344321,0.121923909291221,include_mixed,0.02171725874449515
depablo_low_temp,75,20,20,0.9673091852198816,0.04683195785136,0.1271388104990921,123,exclude_mixed,ae,20,20,0.9698802280313455,0.0479727717992633,0.1271388104990921,include_mixed,-0.0025710428114639194
depablo_low_temp,100,20,20,0.940681139144262,0.0599159269426289,0.1309363081666797,123,exclude_mixed,ae,20,20,0.978201718687384,0.0438039458619791,0.1309363081666797,include_mixed,-0.037520579543122046
lj_noisy,5,20,20,-12.63087070632628,0.1129835328143296,0.0012192600578043,123,exclude_mixed,ae,20,20,-49.49604115763256,0.2193012059988131,0.0012192600578043,include_mixed,36.865170451306284
lj_noisy,10,20,20,-3.032875049910853,0.0765127179802922,0.0021538442446725,123,exclude_mixed,ae,20,20,-18.46211776320153,0.1811584895878186,0.0021538442446725,include_mixed,15.429242713290677
lj_noisy,25,20,20,0.1389247954512172,0.0488964414019107,0.0041168599721615,123,exclude_mixed,ae,20,20,-3.152158678314363,0.1143114666196902,0.0041168599721615,include_mixed,3.29108347376558
lj_noisy,50,20,20,0.3559584984909674,0.0437746072740792,0.0047651600463273,123,exclude_mixed,ae,20,20,-0.444123988813943,0.0667459504761012,0.0047651600463273,include_mixed,0.8000824873049104
lj_noisy,75,20,20,0.4444945051792044,0.040696345562457,0.0050961142073924,123,exclude_mixed,ae,20,20,0.2179462385372766,0.0487079352705214,0.0050961142073924,include_mixed,0.22654826664192781
lj_noisy,100,20,20,0.4991218674247121,0.0426553524337062,0.0053100823581802,123,exclude_mixed,ae,20,20,0.2652435945137339,0.0514691737028938,0.0053100823581802,include_mixed,0.23387827291097818
depablo_mixed_temp,5,20,20,0.0406399814023767,0.3932881662071674,0.2267994575756468,123,exclude_mixed,ae,20,20,0.108261319387923,0.383099062917096,0.2267994575756468,include_mixed,-0.06762133798554629
depablo_mixed_temp,10,20,20,0.2751656106637832,0.3042012939208321,0.1792210970466572,123,exclude_mixed,ae,20,20,0.4830367014384066,0.2497554422781049,0.1792210970466572,include_mixed,-0.2078710907746234
depablo_mixed_temp,25,20,20,0.2507733274424435,0.2968914347745062,0.1814265265332104,123,exclude_mixed,ae,20,20,0.8082209642557912,0.156674207288979,0.1814265265332104,include_mixed,-0.5574476368133476
depablo_mixed_temp,50,20,20,0.5919418100666689,0.1884095815557961,0.1290510646927359,123,exclude_mixed,ae,20,20,0.77736800800558,0.1274630496436576,0.1290510646927359,include_mixed,-0.18542619793891113
depablo_mixed_temp,75,20,20,0.5781633088113816,0.1882399086945906,0.1721180025747532,123,exclude_mixed,ae,20,20,0.9371634868573724,0.0775678465606864,0.1721180025747532,include_mixed,-0.3590001780459908
depablo_mixed_temp,100,20,20,0.6934658440806956,0.1571052465604845,0.1264354805514444,123,exclude_mixed,ae,20,20,0.8972666571005027,0.0860407830685571,0.1264354805514444,include_mixed,-0.20380081301980713
reid,5,20,20,0.214522541210586,0.1100194894555351,0.0215407678341569,123,exclude_mixed,rollout,20,20,-1.3010383148316542,0.1836802915434477,0.0215407678341569,include_mixed,1.5155608560422402
reid,10,20,20,0.2411578391691861,0.1217217038681011,0.0283466184553629,123,exclude_mixed,rollout,20,20,-0.39818257931694,0.1684163157873097,0.0283466184553629,include_mixed,0.6393404184861261
