model,dimension,seed,source,coordinate,n,pearson,spearman,coordinate_std
shared3,6,123,depablo_mixed_temp,z1,20,0.2498316896691811,0.2796992481203007,0.5841121661039097
shared3,6,123,depablo_mixed_temp,z2,20,-0.013984939782305904,-0.0015037593984962405,0.1585919338270008
shared3,6,123,depablo_mixed_temp,z3,20,0.21332462287027257,0.1819548872180451,0.43202938104340094
shared3,6,123,depablo_mixed_temp,z4,20,-0.27367404981894955,-0.2781954887218045,0.4390689452786978
shared3,6,123,depablo_mixed_temp,z5,20,-0.0979442377306442,-0.06766917293233082,0.1424636068678678
shared3,6,123,depablo_mixed_temp,pc1,20,-0.25415104047092063,-0.2706766917293233,0.6676047289624851
shared3,6,123,depablo_mixed_temp,pc2,20,0.21264413960063888,0.20751879699248119,0.5657648289553656
shared3,6,123,depablo_mixed_temp,pc3,20,-0.9317481577189206,-0.8977443609022555,0.04097836919604401
shared3,6,123,depablo_mixed_temp,pc4,20,0.9580671881874346,0.9458646616541352,0.007456853850562506
shared3,6,123,depablo_mixed_temp,pc5,20,0.9342271206833069,0.8766917293233082,0.01042162015251145
shared3,6,123,depablo_mixed_temp,pc6,20,-0.8461336052525742,-0.8120300751879698,0.005598490159955892
shared3,6,123,reid,z0,20,-0.510738291954028,-0.613533834586466,0.026060585591406307
shared3,6,123,reid,z1,20,0.23312158877022976,0.09022556390977443,0.29407558326633065
shared3,6,123,reid,z2,20,-0.03783793911257997,-0.04360902255639097,0.11777400991751032
shared3,6,123,reid,z3,20,-0.009928753118893293,0.003007518796992481,0.3338506501687845
shared3,6,123,reid,z4,20,-0.1941028622657125,-0.07218045112781954,0.22409756091425687
shared3,6,123,reid,z5,20,-0.07140299270457896,-0.051127819548872175,0.11566119267687773
shared3,6,123,reid,pc1,20,-0.235985342076095,-0.051127819548872175,0.3347287046391448
shared3,6,123,reid,pc2,20,0.03854545626018365,0.03909774436090225,0.40437200601098755
shared3,6,123,reid,pc3,20,0.8105813825541043,0.7924812030075187,0.01863515238368132
shared3,6,123,reid,pc4,20,0.9574978266405066,0.9578947368421054,0.012881880536386482
shared3,6,123,reid,pc5,20,-0.7899401439382446,-0.8300751879699247,0.002230420349986667
shared3,6,123,reid,pc6,20,0.6243581304493645,0.5669172932330826,0.00236297333380393
shared3,6,456,depablo_low_temp,z0,20,-0.1338144461202587,-0.021052631578947364,0.3721165187868918
shared3,6,456,depablo_low_temp,z1,20,0.056436756602735214,-0.08872180451127819,0.2515408833328069
shared3,6,456,depablo_low_temp,z2,20,-0.7383281503395283,-0.6541353383458646,0.15808772872099597
shared3,6,456,depablo_low_temp,z3,20,-0.02318775848690296,-0.14586466165413534,0.3286789929132941
shared3,6,456,depablo_low_temp,z4,20,-0.5383978031492864,-0.5954887218045113,0.11949611149581761
shared3,6,456,depablo_low_temp,z5,20,-0.04931718773364232,0.08421052631578946,0.30232014498653487
shared3,6,456,depablo_low_temp,pc1,20,0.0625489168142881,-0.06766917293233082,0.6452612084978451
shared3,6,456,depablo_low_temp,pc2,20,0.9016799965540141,0.8857142857142858,0.15195656971970992
shared3,6,456,depablo_low_temp,pc3,20,0.5269798607485005,0.39097744360902253,0.029300678067097515
shared3,6,456,depablo_low_temp,pc4,20,0.83051860217253,0.6616541353383457,0.01020253261898061
shared3,6,456,depablo_low_temp,pc5,20,0.7882473153257702,0.8571428571428572,0.0038202298034327883
shared3,6,456,depablo_low_temp,pc6,20,0.46860874277208514,0.5578947368421052,0.0034430591064726398
shared3,6,456,depablo_mixed_temp,z0,20,0.07067733359059686,0.13533834586466165,0.3839418714963966
shared3,6,456,depablo_mixed_temp,z1,20,-0.12895046108491207,-0.18496240601503755,0.2605667423230108
shared3,6,456,depablo_mixed_temp,z2,20,-0.5020888203953969,-0.38796992481203,0.14254458644061013
shared3,6,456,depablo_mixed_temp,z3,20,-0.19228088432190324,-0.24511278195488717,0.3410283111555547
